FID,G04a_001,G04a_002,G04a_010
877,64447636,60.2,3.1
878,64447637,59.1,3.6
879,64447638,78.5,0.6
880,64447639,78.2,0.6
881,64447640,86.9,1.9
882,64447641,87.1,1.5
883,64447642,81.0,2.0
884,64447643,71.8,1.8
885,64447644,66.3,2.2
886,64447645,56.8,2.3
887,64447646,55.0,2.8
888,64447647,80.3,1.2
889,64447650,93.5,0.9
890,64447651,76.2,1.5
891,64447652,74.7,1.8
892,64447653,77.9,1.6
893,64447654,71.7,1.9
894,64447655,71.8,1.9
895,64447656,81.4,1.0
896,64447657,84.2,0.6
897,64447660,80.1,1.6
898,64447661,84.7,1.2
899,64447662,87.4,0.8
900,64447663,83.9,0.7
901,64447664,80.1,0.6
902,64447665,76.5,0.6
903,64447670,89.5,0.6
904,64447671,86.6,0.5
905,64447700,73.5,1.3
906,64447701,69.4,1.3
907,64447702,79.3,0.7
908,64447703,74.6,1.3
909,64447710,72.7,1.1
910,64447711,77.4,0.9
911,64447712,78.2,0.7
912,64447720,76.9,0.8
913,64447721,77.1,0.9
914,64447730,74.0,0.8
